In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.017    0.017 algebraicconnectivity.py:3(<module>)
      803    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    15466    0.009    0.000    0.016    0.000 version.py:187(_parse_version_parts)
     1540    0.002    0.000    0.016    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.016    0.016 Image.py:27(<module>)
        1    0.000    0.000    0.015    0.015 axes3d.py:11(<module>)
     1241    0.002    0.000    0.015    0.000 __init__.py:655(__setitem__)
        1    0.000    0.000    0.015    0.015 __init__.py:109(<module>)
        1    0.000    0.000    0.014    0.014 _axes.py:71(Axes)
        1    0.000    0.000    0.013    0.013 category.py:11(<module>)
      566    0.001    0.000    0.013    0.000 __init__.py:2053(<genexpr>)
       61    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.013    0.013 platform.py:10(<module>)
        1    0.000    0.000    0.013    0.013 misc.py:1(<module>)
        1    0.000    0.000    0.013    0.013 parser.py:5(<module>)
        1    0.000    0.000    0.012    0.012 base.py:1(<module>)
        1    0.000    0.000    0.012    0.012 lines.py:4(<module>)
        1    0.000    0.000    0.012    0.012 _numpy_compat.py:3(<module>)
        1    0.000    0.000    0.012    0.012 feedparser.py:20(<module>)
18603/18595    0.009    0.000    0.012    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.012    0.012 artist.py:1(<module>)
    83996    0.012    0.000    0.012    0.000 {method 'popleft' of 'collections.deque' objects}
    67708    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.011    0.011 _base.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:206(__getattr__)
        1    0.000    0.000    0.011    0.011 specifiers.py:4(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:72(<module>)
     1430    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.011    0.011 cm.py:16(<module>)
    83999    0.011    0.000    0.011    0.000 {method 'append' of 'collections.deque' objects}
       26    0.000    0.000    0.011    0.000 pyparsing.py:2779(__init__)
     3480    0.006    0.000    0.010    0.000 inspect.py:2467(__init__)
